market,code,ticker,name,event_date,event_type,title,summary,source,source_url,source_tier,data_status,priority,fetched_at,event_id,raw_excerpt
JP,6701,6701.T,NEC,"Sat, 12 Sep 2026",disclosure,NECよどこへ行く 森田改革の成否 - 日経クロステック,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMiX0FVX3lxTE95Z29jTm5WMVVhMzRDMkdlU2ZOOGNTQUdVYU5qR2laaHNNWlI3aHBxQVZNM2szTXVzaGlRQ2RMOW5UdjNPNVVrVURwalN3aXZoZHZxeW85SllWM2tyUF93?oc=5,secondary,unverified,normal,2026-09-17T22:26:48+00:00,b7b605e66573afb607eafe9d,
JP,6965,6965.T,浜松ホトニクス,"Sun, 09 Aug 2026",disclosure,【半導体人材の未来】〈42〉「浜松ホトニクスが目標」 台湾の大学連合ブースから世界市場へ - dempa-digital.com,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBDNFdPSmtkRDRqUTlpdk9zZ1dpRVhBWDBqZjhYRUFvaFpURUs2OV9TQzlOUlQtN1lnSEdlNjdFcGgyeFRBamFoS2JCMTFhSTlwYnc?oc=5,secondary,unverified,normal,2026-09-17T22:26:48+00:00,d47a526e4c521b02134d6f9f,
JP,9433,9433.T,KDDI,"Thu, 17 Sep 2026",disclosure,KDDIスマートモビリティら、つくばで自動運転バス - logi-today.com,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMiSkFVX3lxTE0yUFVQM21QT05hRGhPMFBMQ2t2czkxTV9CNC0tUzNKU0QwUG5KblRwNW9kWEx2c0hBbHNiR2hsS0NDeXBOYUFPR1h3?oc=5,secondary,unverified,normal,2026-09-17T22:26:48+00:00,09f56ce38aedf79db74c640d,
JP,9433,9433.T,KDDI,"Thu, 17 Sep 2026",disclosure,KDDIのロボット基盤モデルの研究開発がGENIACに採択。フィジカルAIの社会実装を加速 - AIsmiley,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMidEFVX3lxTE04V3JVN2Mya0JzSzFZWFl1c1RrdkJHbWJzUlpHYjhDQnd4QU1UdjFiUU02WnNBRVI3OG1hTjFCcW04S3JqWkEwX1h3ZDloWGpiLTJRZjF0amNxbkhxWF9XSS1fb0Nqd2lIakU5eThVWER1cmFV?oc=5,secondary,unverified,normal,2026-09-17T22:26:48+00:00,38984d1e31357fdff1d0e791,
JP,6701,6701.T,NEC,"Thu, 17 Sep 2026",disclosure,プロボノの価値創造、NECがハブになる サミットに地域・企業・大学から120人集結: NEC Stories - NEC,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMiXEFVX3lxTFBKTEMxRVVhZVR3ZVhkWUJ5bnRiTUpCdUx5Zl9yQVN2Z3BhcVJ2ODdzZFIzdGJneXZKdjhzSjNsX2JycjAtR0ZqeXZlWDJ3TVhWSUl3MGttMTBVb2hV?oc=5,secondary,unverified,normal,2026-09-17T22:26:48+00:00,3ef4269026d0e51889d8b89f,
JP,6701,6701.T,NEC,"Thu, 17 Sep 2026",disclosure,NEC、Snowflake Partner Awardsを受賞 - PR TIMES,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMiakFVX3lxTE11b3VzZ2Q0X0FvOVA4NHoydmRaNExUZzhGZy1ic0N4dG4tQmkzM2VXOEhRQ0piTktaanQzNTB2U0dEemJQMHh5MVJGcDhQaXJtSF95RHJNbDNVaDhzMlZnV0MxYXBPWjlEZUE?oc=5,secondary,unverified,normal,2026-09-17T22:26:48+00:00,20e08d4f0228355a84afee30,
JP,6701,6701.T,NEC,"Thu, 17 Sep 2026",disclosure,NEC、ユベントス戦で大敗を喫しヨーロッパリーグの戦いをスタート - Goal.com,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMijgRBVV95cUxNZE14TkRHaGg4VjBINTZrYU5URGxrZmJIQkhEMFNZbWxpUGNKVXdWbmZtTDVISVl1YzRTQWQwUTBLWV9Tbjc1UnE4SjRxTENadmI4Szd4dnBLNVNpWmMwd2dUSlpjaEdkNXk4VVdKRU9sMllyT3BpNWRNQ0tzc2R3ZWIyU1c4c3g1Z21hLVBsRWJQTngtYnF6czB4QXJMMzBqeTExNDhDTGxrV2FjS2lOMXRmNHFIU2hyZkt2VV9ZS2lRQXZfdDd1NXZuUUtDSTQ2TzBLT3JpY3RxU3NSMWVwTHBMclJMN0pKQndrblVtY1BnUFYxTlVkTlIyck1Jb0N5c3lSalhDcjVSbDJETHJ4WFE1ZXAtbjVJcTBoY3JiOGp4d2tYbDZXbmVfVmFfaVBTZXBTTlVGWUEtNkx4STVVWXdJSFlwRGkyWTJKVmx1V0RjTEJJSzVnd09FUm9teG16WWNCRUpJRVMzeC1TQ2w3eXdOT3hXRHN4WU5UOG9WV0hRc0lsbjVHYU1OQUFuWHBiM1ZieXZXcGxGNXhkeWphMThRRHhZbkJBYTJpaHZfd2RNMjJHeUZpck80UkdMZE5yUU9sNkVvMktjU25fMVhVVmRUaG1CeVI3TlZIb25vT0dGWm95OHRid1gzb3lfUkgtWjJoSEpfcmUteGo0U1R5ckdLSFZhc01LZDhLTThB?oc=5,secondary,unverified,normal,2026-09-17T22:26:48+00:00,c50d995fe9698dc5298ff188,
JP,6965,6965.T,浜松ホトニクス,"Thu, 27 Aug 2026",disclosure,9月26日(土)八戸戦～浜松ホトニクスマッチ～カーボンニュートラルデー～ ウンパルンパ さん来場決定！ - ジュビロ磐田公式サイト | JUBILO IWATA OFFICIAL WEBSITE,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMiY0FVX3lxTFA5UFpYaUZIM1FMOG9WSFhoOU9VS0N3NndxNXdGU0x5WVZvR2c4ZXZHVmw2dFEzYTktcG1MTEZKYnBZa2M1dGVLdXl3Q0ZhZG9BX0lHSnhnOXk0VzFEQzFzcGlURQ?oc=5,secondary,unverified,normal,2026-09-17T22:26:48+00:00,e8b70bb63ffeb012c1f1d09c,
JP,4063,4063.T,信越化学工業,"Tue, 15 Sep 2026",disclosure,信越化学工業(株)【4063】：今の株価の理由は？値動きの背景をAIが解説 - Yahoo!ファイナンス,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMiX0FVX3lxTE9fZnZfbnFJTWhtSjluMV80eDlsYnl0bVoxOUVfbzdCaGFUV0tSdzBOV1BpUUlKc3pwWlBkVG8zMlFMa0dBcWpPZ01jTkZzQkpNajM3eW1WaW9sRndYaFk0?oc=5,secondary,unverified,normal,2026-09-17T22:26:48+00:00,186436f8de58ea1ec109714b,
JP,9433,9433.T,KDDI,"Tue, 15 Sep 2026",disclosure,アジア初、次世代衛星「Starlink Mobile V2」契約を締結 - KDDI ニュースルーム,Secondary news detection only; verify with primary source before acting.,Google News RSS,https://news.google.com/rss/articles/CBMibEFVX3lxTFA2cHZtVmliZHhNemtGZ01kdHF6b3JjV2FQSHNfa1V0dG45b3NrRFliQTh5eVlYRG81TGc3OVRUbnJsUkFYb0NjRkpiZ05vQTZSU2pRQWpBbjlhTVpzbU5CNW9uTmYzeDQtUWhYbQ?oc=5,secondary,unverified,normal,2026-09-17T22:26:48+00:00,759282d767c2eef959c9f88c,
